Date,Open,High,Low,Close,Volume
2003-12-31,721,721,721,721,3969
2004-12-31,757,829,721,811,99001
2005-12-31,804,829,804,829,32309
2006-12-31,829,973,829,973,74240
2007-12-31,973,1189,973,1099,182944
2008-12-31,1037,1556,1000,1484,181964
2009-12-31,1484,1658,1482,1556,182484
2010-12-31,1556,1588,1346,1372,412398
2011-12-31,1372,1413,1251,1251,238139
2012-12-31,1251,1739,1211,1473,752036
2013-12-31,1573,1839,1453,1765,689352
2014-12-31,1768,3974,1767,3974,1126422
2015-12-31,3882,4222,3425,3882,1427823
2016-12-31,3608,6075,3594,4327,2654769
2017-12-31,4279,5865,2300,3094,875253
2018-12-31,3063,3244,1531,2438,972502
2019-12-31,2438,2934,1678,2116,322055
2020-12-31,2116,2434,1881,2188,621343
2021-12-31,2125,3438,2088,3188,671740
2022-12-31,3219,4569,3000,3616,793050
2023-12-31,3616,4063,2519,3369,942473
2024-12-31,3366,3995,2500,2575,823587
2025-12-31,2580,3275,2115,2610,2283678
2026-12-31,2455,5475,2450,5395,1262427
