Date,Open,High,Low,Close,Volume
2010-12-31,714,813,685,750,1529400
2011-12-31,750,806,675,700,343520
2012-12-31,725,968,638,925,2760400
2013-12-31,938,1675,925,1613,1136720
2014-12-31,1613,2305,1500,2250,1187280
2015-12-31,2250,3300,2125,3125,1589200
2016-12-31,3063,6137,3063,3475,2835920
2017-12-31,3475,4767,1725,2450,1366638
2018-12-31,2500,2700,1110,2100,1447604
2019-12-31,2075,2075,1235,1998,746978
2020-12-31,1850,1948,1350,1838,1035908
2021-12-31,1700,3350,1573,2928,750804
2022-12-31,2985,2998,1700,1850,1390844
2023-12-31,1850,3580,1843,3448,2152012
2024-12-31,3448,10300,3300,4995,1360077
2025-12-31,4995,7510,4505,7180,1128643
